marca;nombre;precio;imagen;permitemitad
coca-cola;coca cola vidrio 237ml x30u;35000;img/coca-cola/coca237ml.jpg;true
coca-cola;coca cola vidrio 350ml x30u;60000;img/coca-cola/coca350ml.jpg;true
coca-cola;coca cola lata 330ml x12u;37000;img/coca-cola/cocalata330.jpg;false
coca-cola;coca cola pet 250ml x12u;19000;img/coca-cola/cocaminipet.jpg;false
coca-cola;coca cola pet 400ml x12u;30000;img/coca-cola/coca400ml.jpg;false
coca-cola;coca cola pet 600ml x15u;48000;img/coca-cola/coca600ml.jpg;false
coca-cola;coca cola pet 1ltr x12u;44000;img/coca-cola/cocalitropet.jpg;false
coca-cola;coca cola vidrio 1ltr x12u;36000;img/coca-cola/cocalitrovidrio.jpg;false
coca-cola;coca cola pet 1.5ltr x12u;62000;img/coca-cola/coca1.5litros.jpg;true
coca-cola;coca cola pet 2.5ltr x8u;52000;img/coca-cola/coca2.5litros.jpg;true
coca-cola;coca cola pet retornable 2ltr x9u;46500;img/coca-cola/cocaretornable2litros.jpg;false
coca-cola;coca cola pet 3ltr x6u;54000;img/coca-cola/coca3litros.jpg;false
coca-cola;coca cola sin azucar vidrio 237ml x30u;35000;img/coca-cola/coca237mlzero.jpg;true
coca-cola;coca cola sin azucar vidrio 350ml x30u;60000;img/coca-cola/coca350mlzero.jpg;true
coca-cola;coca cola sin azucar pet 250ml x12u;15000;img/coca-cola/cocaminipetzero.jpg;false
coca-cola;coca cola sin azucar pet 400ml x12u;28000;img/coca-cola/coca400mlzero.jpg;false
coca-cola;coca cola sin azucar pet 1.365ltr x12u;49000;img/coca-cola/coca1.365litroszero.jpg;true
coca-cola;schweppes soda pet 400ml x12u;24000;img/coca-cola/soda400ml.jpg;false
coca-cola;schweppes soda pet 1.5ltrs x12u;38000;img/coca-cola/soda1.5.jpg;false
coca-cola;schweppes ginger pet 400ml x12u;24000;img/coca-cola/ginger400ml.jpg;false
coca-cola;schweppes ginger pet 1.5ltrs x12u;49000;img/coca-cola/ginger1.5.jpg;false
coca-cola;quatro vidrio 237ml x30u;35000;img/coca-cola/quatro237ml.jpg;true
coca-cola;quatro vidrio 350ml x30u;60000;img/coca-cola/quatro350ml.jpg;true
coca-cola;quatro pet 250ml x12u;15000;img/coca-cola/quatrominipet.jpg;false
coca-cola;quatro pet 400ml x12u;24000;img/coca-cola/quatro400ml.jpg;true
coca-cola;quatro pet 1.5lts x12u;43000;img/coca-cola/quatro1.5.jpg;true
coca-cola;quatro 2.5ltrs x8u;40000;img/coca-cola/quatro2.5.jpg;true
coca-cola;quatro pet retornable 2ltrs x9u;34000;img/coca-cola/quatro2ltr.jpg;false
coca-cola;quatro pet 3lts x6u;39000;img/coca-cola/quatro3ltr.jpg;false
coca-cola;sprite vidrio 237ml x30u;35000;img/coca-cola/sprite237ml.jpg;true
coca-cola;sprite vidrio 350ml x30u;60000;img/coca-cola/sprite350ml.jpg;true
coca-cola;sprite pet 250ml x12u;15000;img/coca-cola/sprite250ml.jpg;false
coca-cola;sprite pet 400ml x12u;24000;img/coca-cola/sprite400ml.jpg;true
coca-cola;sprite pet 1.5lts x12u;43000;img/coca-cola/sprite1.5.jpg;true
coca-cola;sprite pet 3lts x6u;39000;img/coca-cola/sprite3ltr.jpg;false
coca-cola;kola roman pet 250ml x12u;15000;img/coca-cola/kola250.jpg;false
coca-cola;kola roman pet 400ml x12u;24000;img/coca-cola/kola400.jpg;true
coca-cola;kola roman pet 1.5ltrs x12u;44000;img/coca-cola/kola1.5ltr.jpg;true
coca-cola;agua brisa pet limon 280ml x24u;27000;img/coca-cola/brisalimon280.jpg;true
coca-cola;agua brisa pet manzana 280ml x24u;27000;img/coca-cola/brisamanzana280.jpg;true
coca-cola;agua brisa pet maracuya 280ml x24u;27000;img/coca-cola/brisamaracuya280.jpg;true
coca-cola;agua brisa gas pet 600 mlx24u;31000;img/coca-cola/brisagas600.jpg;true
coca-cola;agua brisa natural pet 600 mlx24u;30000;img/coca-cola/brisanatural600.jpg;true
coca-cola;agua brisa pet limon 600ml x6u;12000;img/coca-cola/brisalimon600.jpg;false
coca-cola;agua brisa pet manzana 600ml x6u;12000;img/coca-cola/brisamanzana600.jpg;false
coca-cola;agua brisa pet maracuya 600ml x6u;12000;img/coca-cola/brisamaracuya600.jpg;false
coca-cola;agua brisa natural litro x6u;12000;img/coca-cola/brisanatural1ltr.jpg;false
coca-cola;agua brisa manzana pet 1.5ltrs x12u;38000;img/coca-cola/brisamanzana1.5.jpg;true
coca-cola;agua brisa maracuya pet 1.5ltrs x12u;38000;img/coca-cola/brisamaracuya1.5.jpg;true
coca-cola;valle fresh caja 188ml x24u;23000;img/coca-cola/vallefresh188.jpg;true
coca-cola;valle fresh pet 400ml x12u;19000;img/coca-cola/vallefresh400.jpg;false
coca-cola;valle fresh pet 1.5lts x12u;43000;img/coca-cola/vallenaran1.5.jpg;true
coca-cola;valle mandarina pet 1.5lts x12u;43000;img/coca-cola/vallemand1.5.jpg;true
coca-cola;valle fresh pet 2.5lts x6u;40000;img/coca-cola/valle2.5.jpg;true
coca-cola;valle frutal caja surtido 188ml x24u;28000;img/coca-cola/vallefrutal188.jpg;false
coca-cola;valle frutal pet mora 500ml x6u;14500;img/coca-cola/frutalmora500.jpg;false
coca-cola;valle frutal pet mango 500ml x6u;14500;img/coca-cola/frutalmango500.jpg;false
coca-cola;monster lata mangoloco 473ml x1u;7600;img/coca-cola/monsterloco.jpg;false
coca-cola;monster lata green 473ml x1u;7600;img/coca-cola/monstergreen.jpg;false
coca-cola;monster lata blue 473ml x1u;7600;img/coca-cola/monsterblue.jpg;false
coca-cola;monster lata ultra 473ml x1u;7600;img/coca-cola/monsterultra.jpg;false
coca-cola;monster lata violet 473ml x1u;7600;img/coca-cola/monsterviolet.jpg;false
coca-cola;powerade azul pet 500ml x6u;18000;img/coca-cola/powerazul.jpg;false
coca-cola;powerade rojo pet 500ml x6u;18000;img/coca-cola/powerrojo.jpg;false
coca-cola;fuzte durazno pet 400ml x6u;16500;img/coca-cola/fuztedurazno.jpg;false
coca-cola;fuzte limon pet 400ml x6u;16500;img/coca-cola/fuztelimon.jpg;false
coca-cola;fuzte mango pet 400ml x6u;16500;img/coca-cola/fuztemango.jpg;false
coca-cola;fuzte manzana pet 400ml x6u;16500;img/coca-cola/fuztemanzana.jpg;false
postobon;bretaña vidrio 350ml x30u;55000;img/postobon/bretaña350.jpg;true
postobon;bretaña vidrio sixpack 330ml;13000;img/postobon/bretaña300.jpg;false
postobon;bretaña 1.5 x12u;43000;img/postobon/bretaña1.5.jpg;true
postobon;gsa vidrio surtida 250ml x30u;29000;img/postobon/minibotellagsa.jpg;false
postobon;gsa vidrio manzana 250ml x30u;29000;img/postobon/vidriomanzana250.jpg;true
postobon;gsa vidrio colombiana 250ml x30u;29000;img/postobon/vidriocolombiana250.jpg;true
postobon;gsa vidrio pepsi 250ml x30u;29000;img/postobon/vidriopepsi250.jpg;true
postobon;gsa vidrio zup 250ml x30u;29000;img/postobon/vidriozup250,jpg.png;true
postobon;gsa vidrio uva 250ml x30u;29000;img/postobon/vidriouva250.jpg;true
